,BTC_to_propose_agent,BTC_to_receive_agent,accept_min,accept_max,accepted
0,56,44,40,100,True
1,44,56,44,100,True
2,54,46,44,100,True
3,56,44,47,100,False
4,47,53,48,100,True
5,50,50,44,100,True
6,56,44,50,100,False
7,44,56,40,100,True
8,47,53,47,100,True
9,37,63,50,100,True
10,58,42,48,100,False
11,56,44,43,100,True
12,44,56,50,100,True
13,60,40,37,100,True
14,53,47,45,100,True
15,42,58,42,100,True
16,57,43,49,100,False
17,51,49,43,100,True
18,56,44,47,100,False
19,55,45,40,100,True
20,51,49,35,100,True
21,46,54,46,100,True
22,66,34,50,100,False
23,56,44,39,100,True
24,59,41,44,100,False
25,56,44,50,100,False
26,52,48,41,100,True
27,52,48,50,100,False
28,44,56,39,100,True
29,58,42,40,100,True
30,58,42,50,100,False
31,47,53,34,100,True
32,55,45,50,100,False
33,58,42,50,100,False
34,53,47,50,100,False
35,58,42,49,100,False
36,57,43,50,100,False
37,40,60,42,100,True
38,51,49,37,100,True
39,55,45,35,100,True
40,52,48,50,100,False
41,48,52,41,100,True
42,59,41,44,100,False
43,48,52,47,100,True
44,59,41,48,100,False
45,48,52,48,100,True
46,53,47,46,100,True
47,60,40,50,100,False
48,58,42,50,100,False
49,65,35,43,100,False
50,48,52,45,100,True
51,55,45,43,100,True
52,61,39,50,100,False
53,54,46,46,100,True
54,59,41,43,100,False
55,52,48,41,100,True
56,53,47,39,100,True
57,55,45,49,100,False
58,53,47,47,100,True
59,51,49,47,100,True
60,58,42,50,100,False
61,56,44,45,100,False
62,52,48,43,100,True
63,47,53,49,100,True
64,59,41,50,100,False
65,60,40,48,100,False
66,55,45,46,100,False
67,50,50,46,100,True
68,56,44,49,100,False
69,51,49,48,100,True
70,63,37,41,100,False
71,60,40,41,100,False
72,61,39,36,100,True
73,61,39,41,100,False
74,61,39,36,100,True
75,57,43,49,100,False
76,52,48,46,100,True
77,52,48,45,100,True
78,59,41,44,100,False
79,54,46,48,100,False
80,53,47,48,100,False
81,59,41,33,100,True
82,58,42,46,100,False
83,55,45,50,100,False
84,60,40,46,100,False
85,52,48,38,100,True
86,57,43,41,100,True
87,55,45,34,100,True
88,50,50,40,100,True
89,63,37,45,100,False
90,63,37,39,100,False
91,49,51,42,100,True
92,57,43,42,100,True
93,54,46,46,100,True
94,60,40,50,100,False
95,51,49,49,100,True
96,50,50,48,100,True
97,54,46,50,100,False
98,50,50,39,100,True
99,53,47,43,100,True
100,52,48,41,100,True
101,57,43,43,100,True
102,56,44,48,100,False
103,49,51,43,100,True
104,48,52,41,100,True
105,54,46,39,100,True
106,46,54,31,100,True
107,53,47,36,100,True
108,55,45,38,100,True
109,60,40,46,100,False
110,53,47,46,100,True
111,53,47,46,100,True
112,55,45,39,100,True
113,44,56,46,100,True
114,44,56,45,100,True
115,52,48,50,100,False
116,60,40,38,100,True
117,58,42,48,100,False
118,52,48,50,100,False
119,51,49,50,100,False
120,56,44,50,100,False
121,55,45,38,100,True
122,52,48,46,100,True
123,57,43,44,100,False
124,49,51,37,100,True
125,55,45,45,100,True
126,43,57,38,100,True
127,53,47,36,100,True
128,51,49,40,100,True
129,58,42,37,100,True
130,57,43,48,100,False
131,53,47,46,100,True
132,48,52,42,100,True
133,49,51,50,100,True
134,47,53,48,100,True
135,44,56,50,100,True
136,51,49,44,100,True
137,54,46,49,100,False
138,57,43,50,100,False
139,59,41,46,100,False
140,53,47,46,100,True
141,58,42,41,100,True
142,64,36,50,100,False
143,57,43,46,100,False
144,65,35,43,100,False
145,59,41,43,100,False
146,55,45,38,100,True
147,50,50,46,100,True
148,58,42,45,100,False
149,58,42,39,100,True
150,59,41,49,100,False
151,53,47,38,100,True
152,51,49,45,100,True
153,55,45,38,100,True
154,54,46,42,100,True
155,63,37,38,100,False
156,57,43,39,100,True
157,54,46,44,100,True
158,52,48,40,100,True
159,50,50,50,100,True
160,55,45,50,100,False
161,41,59,45,100,True
162,51,49,36,100,True
163,55,45,50,100,False
164,58,42,49,100,False
165,54,46,43,100,True
166,62,38,46,100,False
167,58,42,45,100,False
168,55,45,45,100,True
169,63,37,45,100,False
170,50,50,43,100,True
171,46,54,42,100,True
172,64,36,41,100,False
173,56,44,50,100,False
174,53,47,46,100,True
175,57,43,50,100,False
176,51,49,43,100,True
177,53,47,42,100,True
178,61,39,37,100,True
179,44,56,37,100,True
180,49,51,50,100,True
181,54,46,48,100,False
182,48,52,45,100,True
183,51,49,50,100,False
184,48,52,47,100,True
185,51,49,50,100,False
186,54,46,44,100,True
187,52,48,48,100,True
188,60,40,40,100,True
189,60,40,38,100,True
190,53,47,50,100,False
191,53,47,45,100,True
192,52,48,50,100,False
193,60,40,36,100,True
194,59,41,44,100,False
195,59,41,33,100,True
196,55,45,45,100,True
197,54,46,50,100,False
198,50,50,42,100,True
199,60,40,47,100,False
200,60,40,37,100,True
201,44,56,45,100,True
202,52,48,50,100,False
203,47,53,46,100,True
204,53,47,45,100,True
205,54,46,43,100,True
206,56,44,46,100,False
207,53,47,47,100,True
208,53,47,48,100,False
209,53,47,47,100,True
210,60,40,48,100,False
211,58,42,39,100,True
212,52,48,46,100,True
213,51,49,35,100,True
214,55,45,47,100,False
215,62,38,50,100,False
216,47,53,39,100,True
217,60,40,50,100,False
218,56,44,48,100,False
219,50,50,45,100,True
220,57,43,48,100,False
221,58,42,46,100,False
222,53,47,44,100,True
223,48,52,43,100,True
224,55,45,39,100,True
225,51,49,36,100,True
226,51,49,50,100,False
227,55,45,50,100,False
228,56,44,50,100,False
229,50,50,40,100,True
230,61,39,41,100,False
231,54,46,39,100,True
232,54,46,40,100,True
233,50,50,38,100,True
234,44,56,50,100,True
235,59,41,50,100,False
236,61,39,50,100,False
237,55,45,50,100,False
238,55,45,50,100,False
239,59,41,50,100,False
240,51,49,32,100,True
241,45,55,43,100,True
242,53,47,49,100,False
243,61,39,49,100,False
244,52,48,50,100,False
245,57,43,37,100,True
246,57,43,49,100,False
247,59,41,43,100,False
248,53,47,33,100,True
249,56,44,40,100,True
250,55,45,44,100,True
251,61,39,41,100,False
252,65,35,45,100,False
253,59,41,48,100,False
254,52,48,50,100,False
255,57,43,50,100,False
256,56,44,46,100,False
257,50,50,49,100,True
258,52,48,43,100,True
259,59,41,46,100,False
260,58,42,45,100,False
261,56,44,45,100,False
262,41,59,49,100,True
263,60,40,45,100,False
264,56,44,47,100,False
265,54,46,38,100,True
266,54,46,50,100,False
267,45,55,46,100,True
268,45,55,42,100,True
269,51,49,39,100,True
270,41,59,40,100,True
271,53,47,37,100,True
272,53,47,45,100,True
273,52,48,46,100,True
274,57,43,38,100,True
275,60,40,42,100,False
276,59,41,48,100,False
277,50,50,41,100,True
278,58,42,50,100,False
279,51,49,41,100,True
280,51,49,42,100,True
281,57,43,42,100,True
282,52,48,46,100,True
283,54,46,39,100,True
284,57,43,50,100,False
285,56,44,39,100,True
286,58,42,43,100,False
287,45,55,43,100,True
288,58,42,35,100,True
289,53,47,39,100,True
290,58,42,49,100,False
291,65,35,40,100,False
292,52,48,46,100,True
293,52,48,46,100,True
294,59,41,44,100,False
295,55,45,41,100,True
296,47,53,44,100,True
297,60,40,48,100,False
298,61,39,45,100,False
299,53,47,34,100,True
300,49,51,45,100,True
301,52,48,45,100,True
302,59,41,50,100,False
303,60,40,38,100,True
304,61,39,50,100,False
305,58,42,42,100,True
306,41,59,44,100,True
307,57,43,46,100,False
308,50,50,50,100,True
309,58,42,46,100,False
310,58,42,46,100,False
